Technical Phrase, Sentence Frequency
source language, 1
might cause, 39
different cartridge, 2
part number description 80p6911, 5
process level, 1
invalid event, 10
nnn gateway device, 1
horizontal operation form factor, 2
firmware recovery, 2
traceselection use, 2
total floor load rating, 3
system security, 1
prepdev command, 22
single back, 3
internal sas controller, 9
water condensation, 12
specified physical volume, 24
white ceiling, 5
das gert erfllt, 12
usb port, 23
virtual fibre channel adapter, 316
device port, 7
06cm weight, 1
cause physical damage, 6
document energy star, 4
large portion, 12
likely suffice, 1
high availability mode, 19
required configuration information, 7
following backup command, 9
region location, 3
information thread, 1
import volume group, 8
committed fileset, 5
clear flash dump, 61
ktadd command, 2
available rmc state, 3
nonvolatile storage, 24
operating system documentation, 16
lua1 logical unit, 15
following order, 2
system rail, 21
pv distribution, 6
off scsi, 12
current shared memory weight, 3
bay parent topic, 3
copy disk image, 4
only data, 4
ip address space, 12
local internet, 6
system firmware, 144
shutdown completion message, 3
re fi, 1
software prerequisitesthe, 23
logical partition number, 5
pgsz argument, 8
potential boot, 3
service partition, 7
ethernet cable, 55
right top operating mm, 2
redundant hmc environment, 4
floor space, 4
figure error code, 9
oem set, 3
communication speed, 6
possible loss, 5
basic setup, 12
original host system, 1
toner dust, 6
different logical partition, 23
shutdown option, 3
unlock symbol, 3
gb disk, 3
capable adapter, 25
size physical volume name, 5
mib object prefix, 1
insufficient network memory, 3
configuration database, 4
firmware console, 7
amber encrypt, 34
conductive path, 6
error code cause, 14
initial provisional size, 8
stringer construction, 6
navigation area, 14
display server, 4
gb native mode, 9
maintenance mode function, 20
electrical noise, 2
storage pool name, 21
memory compression, 23
configure secure shell connection, 3
integrated virtualization manager interface, 5
use set, 4
peripheral 5f, 1
value1 value2, 1
only cleaning cartridge, 33
corresponding virtual scsi adapters, 6
type logical volume type, 8
unix root shell, 4
nim master hostname, 1
use screw, 7
terminal connection, 12
current user type, 2
0xbbbbbbbbbb00 0x00000000nnnn, 1
awwpns number, 19
flow control setting, 1
portable carbon dioxide fire, 1
activity scsi, 18
following processor unit, 1
configure call home, 1
nested double quote, 8
recommended environment, 17
virtual ethernet topology, 6
power specificationsyour server, 16
clock rate, 2
green line, 19
name might, 48
particular device, 29
line speed, 2
adapter attributesyou, 4
confirmation while, 4
noise exposure, 6
type vgname, 1
perforated rear door, 4
overall room, 1
benchmark performance score, 3
corresponding uxxxx value, 1
kernel thread context, 1
dry pipe, 3
such adapter, 7
equivalent type, 2
cd directory, 1
off data, 4
safety consideration, 4
different hmc installation, 8
logical volume data, 11
tree protocol, 16
available partition, 3
moisture content, 3
following amount, 4
logical port, 218
equipment rack, 1
direct sunlight, 11
new rootvg, 6
use paging storage pool, 2
bootlist command purpose, 9
unit option, 1
backing device, 91
chsvcevent command, 4
seastat command purpose, 3
use host, 10
ibm software, 6
specified prefix, 2
hz flash rate flash, 2
bridge function, 1
term ground, 4
diagnostic program capabilitieswrap data, 19
voltage monitor might, 2
command resource count, 2
processing speed, 1
same security, 2
data cartridge loading, 6
user window, 4
hz frequency range, 1
critical console information back, 14
outdoor communication, 22
following digit format, 1
operating system might mark, 7
dynamicrm tool package, 38
single group, 10
hardware problem information, 5
ent2 ethernet, 1
filter data, 113
required devauth password, 4
dock eu03 rdx usb, 1
zoning activity, 1
access floor, 1
new virtual scsi adapter, 11
true memory size, 3
remote ipl, 8
split display, 1
single line, 1
user request authorization, 2
preset delay, 3
tape access, 8
emergency situation, 1
off scope, 20
storage provisioningwhen, 2
other partition, 8
required slot, 1
ieq interruptible event, 4
descriptionthe feature code fc, 5
free memory, 6
rfc tcp, 3
event type leave, 89
local host information, 6
view hmc, 7
internet vpn tab, 1
logical lhea, 9
previous version, 3
running lsmap, 6
clean failure on1 on3, 24
monitoring agent, 42
workload management, 65
safe exit, 1
associated virtual target device, 1
function while, 4
appropriate information, 32
support dynamic partitioning, 7
electrical voltage, 9
additional removable disk drivesfor, 6
start partitioning, 2
storage availability, 3
dedicated processor mode cap, 1
duplex port port gigabit, 3
hardware information, 256
negative number, 1
derivative work, 1
invalid vlan tag, 1
benchmark run, 12
support manager window, 1
welcome text task, 3
server connection information, 1
configuration system database, 1
suitable circuit, 8
hdiskx physical volume, 11
entire logical volume, 1
full amount, 22
smtp server type, 8
big packet, 9
machine id number, 9
software package, 10
line ame, 6
installation method, 3
showmount command, 9
unattended remote service session, 1
offload capability, 3
upgrade hmc machine code, 2
vmstat scdisk13 scdisk14, 2
virtual memory consumption subclass, 14
national regulation, 1
different mirror, 2
controlhost object, 6
last day, 1
single adapter, 2
leave contamination, 8
boot lv, 13
optical storage, 5
base code, 24
normal delivery, 5
removable medium, 3
logical partition failure, 8
san zoning, 6
management tool, 14
first step, 5
committed processor, 1
export volume group, 6
process level detail, 8
wkldout command, 7
table summary, 23
logical volume testlv, 1
following procedure, 58
other frus might, 9
maximum limit, 16
mb 2hd disk, 3
configuration option example, 13
own firewall, 5
slimline sata form factor, 1
extensive testing, 2
specified workload management, 1
print pdf file, 21
prerequisite description system setup, 8
keyfile password, 2
fc 8x fc 2x, 1
direct exposure, 3
third party volume manager, 1
filtercat option, 22
warning panel message, 1
option exit status, 35
host server ip address, 3
value logicalvolume description, 9
vsi management policy definition, 8
instruction page fault, 1
hdiskx mapping, 2
client shared ethernet adapter, 5
tsm scheduler parent topic, 1
storage equipment, 30
television interference, 31
indirect connection, 3
affinity delta threshold, 5
physical storage redundancy, 2
complete domain name, 3
hardware control host, 4
hour altitude, 3
system ibm, 9
drive problem, 8
distinct volume, 29
trace session, 1
specified action, 6
physical fibre channel adapters, 64
other equipmentin addition, 7
default setting, 95
possible reheating, 20
excessive slack tape, 2
alphabetic character, 38
different src, 1
antistatic floor, 9
streaming data transfer rate, 9
filter filter data, 11
system plan creation, 18
enough traffic, 5
logical unit storage, 16
modem data cable, 22
san vendor, 8
operational vibration, 17
physical port group, 12
eject button, 254
specified length, 8
maximum recommended time, 52
unsuccessful installation, 2
tree view, 6
vtopt0 entry, 1
wet bulb, 2
use dhcp, 2
remote ftp site, 23
tape drive hardware problem, 2
logical partition memory, 14
digit hour, 1
detailed power calculator, 6
processor capacity, 9
specific amount, 22
prefix description example, 6
fire detection system, 10
hmc support, 21
phase rotation, 12
maximum percentage, 2
tape motion, 198
on2 wait, 1
destination vios logical partition, 2
real adapters, 8
ssl proxy, 11
change network, 3
autonegotiation setting, 3
active cap, 2
system clientv2, 4
real side, 3
modern configurationand, 8
managing system management, 33
priority level, 13
green activity, 5
secure lock, 14
present problem, 2
enterprise number, 2
exclamation mark, 10
select 2nd boot device, 1
encrypted version, 4
dvd mediacorrect, 4
maximum log, 2
layer ssl protocol, 2
memory requirement, 1
logical partition creation, 3
average amount, 8
beginning work, 2
october 2013added information, 9
transient plate, 6
bottom front, 15
equivalent code, 11
mechanical air, 8
bystander position, 20
paging vios partition, 683
external power supply, 2
new file name, 1
cartridge 00v7590, 1
snmp response, 1
inode lookup, 4
only grounding, 2
memory region size, 28
adapter data rate, 11
pgspout number, 8
report function, 2
bridged number, 20
use blank tape, 4
console operator, 8
search scope, 6
name status, 5
fire protection equipment, 7
initiate failover, 3
environment equipment, 1
workload group participant, 1
hot spot, 4
route expiration, 1
totalstorage productivity center server, 5
startnetsvc telnet, 3
vtopt13 clientcd vtopt14, 7
list parameter, 5
aix digi realport softwareto, 5
syslog data, 1
security hardening, 7
same physical volume, 2
viewonly role, 12
optimal bandwidth, 1
appropriate overcurrent protection, 2
reporting system, 1
detailed affinity information, 1
web page, 1
other local language, 3
44v8353 raid, 8
different rack cabinet, 38
backup function, 8
logical partition management, 13
character device, 4
volume group vg01, 3
volume group vg03, 8
volume group vg02, 8
volume group vg04, 5
electrical power frequency, 8
associated storage, 1
dma overrun, 17
integrated ethernet adapter, 6
nominal fan speed cfm, 6
redundancy configuration, 25
previous boot, 1
hh sas tape, 3
ci number, 6
microcode levelsmedia, 6
covered operating server, 1
c050760547e90000 fcs0, 5
changed information, 216
mib group, 1
status code, 2
connection monitoring, 53
performance data, 13
log data, 26
specified user id, 4
local electrical supply, 4
following configuration, 14
huge page memory allocation, 4
future layout change, 17
mkvdev targetdevice virtualethernetadapter, 1
powerha systemmirror, 2
surrounding environment, 6
use memory, 19
mean deviation, 3
paging memory tr0, 1
disk protection, 1
original disk, 8
many software, 10
clip nut, 8
fabric manager, 10
ldap load module, 1
syntax statement, 3
command description, 109
status column, 1
trap message, 2
streaming data, 6
separate power service, 7
tape drive usb, 10
hardware while, 6
fsp flexible service processor, 1
current web browser session, 1
deploys system plan, 8
vlan tagging, 2
system code, 1
only gb, 1
conversion wizard might, 11
scp command, 5
adapters support, 6
group name, 1
link count, 2
diagnostic programthe, 8
system proper planning, 9
class laser, 2
supply cool air, 2
migrlpar command, 3
specified state, 4
map location code, 33
electronic service agent facility, 2
elektromagnetische vertrglichkeit, 15
world related information, 3
environmental design, 22
electron beam, 2
fire preventionsafety, 3
new certificate, 9
reliable electrical connection, 3
available processing, 15
enforced processor resource limit, 2
setup wizard, 39
specific group, 13
hmc access, 5
default socket buffer, 4
background noise, 2
local code authority, 1
technology company, 1
error message, 47
tape drive number, 1
exact name, 2
stopnetsvc telnet, 3
following example, 47
customer task, 7
lslparinfo command, 3
control rmc, 1
following paragraph, 24
noninteractive mode, 1
unexpanded memory, 5
system logical partition, 1
cooling unit, 2
volume group status, 7
specified boot list, 11
repair serviceable event, 2
backup operation, 12
current user, 23
